,team_name,W,L,ppg,ppg_a,ppg_diff,pass_yds,pass_tds,rush_yds,rush_tds,off_tds,pass_ypg,rush_ypg,win_pct,ypg,state,team_level,conference
166,James Madison,11,2,34.1,19.5,14.6,,36,,17,53,284.8,134.2,0.85,418.9,,College,Sun Belt
167,Jacksonville St.,9,4,30.2,21.2,9.0,,12,,35,47,171.0,236.7,0.69,407.7,,College,CUSA
168,Sam Houston,3,9,20.0,26.2,-6.2,,15,,13,28,222.5,88.9,0.25,311.4,,College,CUSA
169,Buffalo Bills,11,6,26.5,18.3,8.2,,29,,22,51,244.4,130.1,0.65,374.5,NY,NFL,AFC
170,Miami Dolphins,11,6,29.2,23.0,6.2,,30,,27,57,265.5,135.8,0.65,401.3,FL,NFL,AFC
171,New York Jets,7,10,15.8,20.9,-5.1,,11,,7,18,171.7,96.9,0.41,268.6,NJ,NFL,AFC
172,New England Patriots,4,13,13.9,21.5,-7.6,,16,,9,25,180.5,95.7,0.24,276.2,MA,NFL,AFC
173,Baltimore Ravens,13,4,28.4,16.5,11.9,,27,,26,53,213.8,156.5,0.76,370.3,MD,NFL,AFC
174,Cleveland Browns,11,6,23.3,21.3,2.0,,24,,15,39,217.2,118.6,0.65,335.8,OH,NFL,AFC
175,Pittsburgh Steelers,10,7,17.9,19.1,-1.2,,13,,16,29,186.1,118.2,0.59,304.3,PA,NFL,AFC
176,Cincinnati Bengals,9,8,21.5,22.6,-1.1,,27,,12,39,229.1,89.8,0.53,318.9,OH,NFL,AFC
177,Houston Texans,10,7,22.2,20.8,1.4,,27,,10,37,245.5,96.9,0.59,342.4,TX,NFL,AFC
178,Jacksonville Jaguars,9,8,22.2,21.8,0.4,,22,,17,39,242.7,96.8,0.53,339.5,FL,NFL,AFC
179,Indianapolis Colts,9,8,23.3,24.4,-1.1,,18,,19,37,215.6,121.1,0.53,336.7,IN,NFL,AFC
180,Tennessee Titans,6,11,17.9,21.6,-3.7,,14,,16,30,180.4,108.6,0.35,289.0,TN,NFL,AFC
181,Kansas City Chiefs,11,6,21.8,17.3,4.5,,28,,9,37,246.4,104.9,0.65,351.3,MO,NFL,AFC
182,Las Vegas Raiders,8,9,19.5,19.5,0.0,,20,,11,31,198.8,90.7,0.47,289.5,NV,NFL,AFC
183,Denver Broncos,8,9,21.0,24.3,-3.3,,28,,8,36,191.9,106.5,0.47,298.4,CO,NFL,AFC
184,Los Angeles Chargers,5,12,20.4,23.4,-3.0,,24,,11,35,232.8,96.6,0.29,329.4,CA,NFL,AFC
185,Dallas Cowboys,12,5,29.9,18.5,11.4,,36,,14,50,258.6,112.9,0.71,371.5,TX,NFL,NFC
186,Philadelphia Eagles,11,6,25.5,25.2,0.3,,24,,22,46,225.5,128.8,0.65,354.3,PA,NFL,NFC
187,New York Giants,6,11,15.6,23.9,-8.3,,15,,10,25,169.8,110.2,0.35,280.0,NJ,NFL,NFC
188,Washington Commanders,4,13,19.4,30.5,-11.1,,24,,14,38,219.1,93.6,0.24,312.7,MD,NFL,NFC
189,Detroit Lions,12,5,27.1,23.2,3.9,,30,,27,57,258.9,135.9,0.71,394.8,MI,NFL,NFC
190,Green Bay Packers,9,8,22.5,20.6,1.9,,32,,10,42,233.4,112.1,0.53,345.5,WI,NFL,NFC
191,Minnesota Vikings,7,10,20.2,21.3,-1.1,,30,,7,37,256.4,91.4,0.41,347.8,MN,NFL,NFC
192,Chicago Bears,7,10,21.2,22.3,-1.1,,19,,16,35,182.1,141.1,0.41,323.2,IL,NFL,NFC
193,Tampa Bay Buccaneers,9,8,20.5,19.1,1.4,,28,,8,36,224.2,88.8,0.53,313.0,FL,NFL,NFC
194,New Orleans Saints,9,8,23.6,19.2,4.4,,28,,13,41,234.7,102.5,0.53,337.2,LA,NFL,NFC
195,Atlanta Falcons,7,10,18.9,21.9,-3.0,,17,,14,31,207.3,127.0,0.41,334.3,GA,NFL,NFC
196,Carolina Panthers,2,15,13.9,24.5,-10.6,,13,,7,20,161.2,104.1,0.12,265.3,NC,NFL,NFC
197,San Francisco 49ers,12,5,28.9,17.5,11.4,,33,,27,60,257.9,140.5,0.71,398.4,CA,NFL,NFC
198,Los Angeles Rams,10,7,23.8,22.2,1.6,,26,,18,44,239.0,120.3,0.59,359.3,CA,NFL,NFC
199,Seattle Seahawks,9,8,21.4,23.6,-2.2,,23,,11,34,230.0,92.9,0.53,322.9,WA,NFL,NFC
200,Arizona Cardinals,4,13,19.4,26.8,-7.4,,18,,17,35,184.9,139.1,0.24,324.0,AZ,NFL,NFC
